identity,labels,storage_type,processor_type,unique_id,memory,gpu_type,memory_type,storage,processor,gpu,available_processor,available_storage,name,available_region,available_memory,available_gpu,elementId
855,Node,SATA SSD,Intel Core i7,75c57a99-01c6-41b5-be4c-daee93d24372,10,AMD Radeon,DDR7,16,8,8,2.6666666666666665,5.333333333333333,Precision 7920 Rack Workstation,china,3.3333333333333335,2.6666666666666665,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:855
856,Node,Flash Storage,AMD EPYC,689398de-46e1-4253-a470-c1a10690d1e7,8,NVIDIA Tesla,DDR6,8,6,6,6,8,PrimeServer Rack V Rack Server,china,8,6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:856
857,Node,M.2 SSD,AMD Ryzen,49f1fc8d-b919-4a6d-bd9d-0621e6b49755,24,NVIDIA Quadro RTX,DDR5,512,22,22,11,256,SuperServer 6019U Rack Server,china,12,11,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:857
858,Node,eMMC Storage,AMD Ryzen,32a0f343-2e19-48bc-a090-8e161143787f,32,NVIDIA GeForce RTX,DDR3,8196,30,64,7.5,2049,PrimeServer Rack IX Rack Server,china,8,16,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:858
859,Node,HDD,AMD Ryzen,71da58b5-3e90-4ce6-a29b-60a578b8b764,2,NVIDIA Quadro,DDR3,2,2,2,2,2,ProLiant DL360 Gen10 Rack Server,china,2,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:859
860,Node,NVMe,Intel Core i9,ff35260b-4d2d-4f87-8b48-4e55faffcd1f,4,AMD Radeon Pro,DDR5,4,4,4,1,1,ThinkSystem SR650 Rack Server,china,1,1,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:860
861,Node,SATA HDD,Intel Core i7,f206aad3-d072-4f37-893a-6ea3127eec69,26,AMD Radeon Pro WX,DDR7,1024,24,24,8,341.3333333333333,PowerEdge R740 Rack Server,china,8.666666666666666,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:861
862,Node,Fusion Drive,AMD Ryzen,b3af863d-ef7f-4688-93d2-177150e05ae3,16,AMD Radeon RX,DDR5,48,14,14,2.3333333333333335,8,ProLiant DL380 Gen10 Rack Server,china,2.6666666666666665,2.3333333333333335,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:862
863,Node,Flash Memory,Intel Core i5,d8c3f59b-5f23-4015-adf2-53051c8be9ee,14,NVIDIA Quadro RTX,DDR3,32,12,12,12,32,PowerEdge R640 Rack Server,china,14,12,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:863
864,Node,Flash Memory,Intel Core i5,92e2bb69-d464-49d4-95f9-939303f9aa68,14,NVIDIA Quadro RTX,DDR3,32,12,12,2.4,6.4,PowerEdge R640 Rack Server,china,2.8,2.4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:864
865,Node,eMMC Storage,AMD Ryzen,4522e818-6227-4346-a957-f0199c00fb52,32,NVIDIA GeForce RTX,DDR3,8196,30,64,6,1639.2,PrimeServer Rack IX Rack Server,china,6.4,12.8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:865
866,Node,NAS Storage,Intel Xeon,907201db-d179-478c-bb76-2977560adee4,30,AMD Radeon VII,DDR4,4096,28,48,4.666666666666667,682.6666666666666,ThinkSystem SR530 Rack Server,china,5,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:866
867,Node,Fusion Drive,AMD Ryzen,6e4fd439-9af7-429e-bc84-a3bd9024fedf,16,AMD Radeon RX,DDR5,48,14,14,4.666666666666667,16,ProLiant DL380 Gen10 Rack Server,china,5.333333333333333,4.666666666666667,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:867
868,Node,NVMe,Intel Core i9,b7762c3c-6c07-4494-a9a0-2250cff94764,4,AMD Radeon Pro,DDR5,4,4,4,1,1,ThinkSystem SR650 Rack Server,china,1,1,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:868
869,Node,External HDD,Intel Xeon,bb8d96c2-5c7d-4202-8046-32e382ea25da,18,NVIDIA Tesla V100,DDR6,64,16,16,3.2,12.8,ThinkSystem SR630 Rack Server,china,3.6,3.2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:869
870,Node,Fusion Drive,AMD Ryzen,41517416-52fd-4a3e-b8bd-120cd530d12c,16,AMD Radeon RX,DDR5,48,14,14,2.8,9.6,ProLiant DL380 Gen10 Rack Server,china,3.2,2.8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:870
871,Node,Hybrid Drive,AMD Ryzen Threadripper,afb8f60d-21ab-4e2d-8248-a0ab35725bab,12,NVIDIA GeForce RTX,DDR4,24,10,10,5,12,SuperServer 10210U Rack Server,china,6,5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:871
872,Node,SATA SSD,Intel Core i7,217567cc-45cd-4a48-87b6-f3d77b9a4b39,10,AMD Radeon,DDR7,16,8,8,1.6,3.2,Precision 7920 Rack Workstation,china,2,1.6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:872
873,Node,HDD,AMD Ryzen,14a72e96-e55f-40f0-a642-088b0f37c329,2,NVIDIA Quadro,DDR3,2,2,2,1,1,ProLiant DL360 Gen10 Rack Server,china,1,1,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:873
874,Node,NVMe,Intel Core i9,9e52c7a0-02c9-48d6-ab29-58d860b67a76,4,AMD Radeon Pro,DDR5,4,4,4,0.8,0.8,ThinkSystem SR650 Rack Server,china,0.8,0.8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:874
875,Node,Fusion Drive,AMD Ryzen,72406855-3e94-4a4b-99c4-4a6ce3d3fca9,16,AMD Radeon RX,DDR5,48,14,14,2.3333333333333335,8,ProLiant DL380 Gen10 Rack Server,china,2.6666666666666665,2.3333333333333335,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:875
876,Node,External SSD,AMD EPYC,88f5d1eb-1973-46e6-af59-8992d7fd2846,28,NVIDIA Tesla T4,DDR6,2048,26,32,8.666666666666666,682.6666666666666,ProLiant DL325 Gen10 Rack Server,china,9.333333333333334,10.666666666666666,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:876
877,Node,NVMe,Intel Core i9,70244045-ade5-4653-8e87-778cbd30f3cc,4,AMD Radeon Pro,DDR5,4,4,4,1,1,ThinkSystem SR650 Rack Server,china,1,1,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:877
878,Node,SATA SSD,Intel Core i7,0c9609dc-0ef8-40a7-b6e1-6f384efca854,10,AMD Radeon,DDR7,16,8,8,1.6,3.2,Precision 7920 Rack Workstation,china,2,1.6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:878
879,Node,SATA HDD,Intel Core i7,a1da5840-b1bf-4e99-8a8c-1273374213e9,26,AMD Radeon Pro WX,DDR7,1024,24,24,4,170.66666666666666,PowerEdge R740 Rack Server,china,4.333333333333333,4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:879
880,Node,HDD,AMD Ryzen,d8e22f92-319c-4487-a891-e8517cca896d,2,NVIDIA Quadro,DDR3,2,2,2,0.4,0.4,ProLiant DL360 Gen10 Rack Server,china,0.4,0.4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:880
881,Node,eMMC Storage,AMD Ryzen,51d64588-9e21-4759-9403-5fcf21b69990,32,NVIDIA GeForce RTX,DDR3,8196,30,64,30,8196,PrimeServer Rack IX Rack Server,china,32,64,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:881
882,Node,Flash Memory,Intel Core i5,a2d958d9-4408-4164-b9d6-d9ba5b083c8e,14,NVIDIA Quadro RTX,DDR3,32,12,12,3,8,PowerEdge R640 Rack Server,china,3.5,3,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:882
883,Node,USB Flash Drive,Intel Core i9,bd0051b8-9c23-4b10-a162-1d79fe9b354a,22,NVIDIA GeForce GTX,DDR3,256,20,20,3.3333333333333335,42.666666666666664,Precision 7920 Tower Workstation,china,3.6666666666666665,3.3333333333333335,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:883
884,Node,SATA HDD,Intel Core i7,462aaa39-abec-48b9-80d0-6be29571f8e3,26,AMD Radeon Pro WX,DDR7,1024,24,24,24,1024,PowerEdge R740 Rack Server,china,26,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:884
885,Node,HDD,AMD Ryzen,ec05c2d1-5620-4e27-8d41-bf26c263c0a4,2,NVIDIA Quadro,DDR3,2,2,2,0.4,0.4,ProLiant DL360 Gen10 Rack Server,china,0.4,0.4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:885
886,Node,Flash Storage,AMD EPYC,71f3c37a-6594-46d5-8a88-f6b7ed73560b,8,NVIDIA Tesla,DDR6,8,6,6,1.5,2,PrimeServer Rack V Rack Server,china,2,1.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:886
887,Node,Fusion Drive,AMD Ryzen,c6802eea-81b3-4983-854e-74868e0123ab,16,AMD Radeon RX,DDR5,48,14,14,7,24,ProLiant DL380 Gen10 Rack Server,china,8,7,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:887
888,Node,Hybrid Drive,AMD Ryzen Threadripper,8059eceb-e480-4e12-8628-09ac07c8d0d6,12,NVIDIA GeForce RTX,DDR4,24,10,10,3.3333333333333335,8,SuperServer 10210U Rack Server,china,4,3.3333333333333335,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:888
889,Node,SSD,Intel Xeon,b7877cb3-b561-46ec-82eb-535895e77e60,1,NVIDIA GeForce,DDR4,1,1,1,0.2,0.2,PowerEdge R660 Rack Server,china,0.2,0.2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:889
890,Node,Flash Memory,Intel Core i5,dfcdbded-8a7d-4bdf-83eb-a12183b8c6f7,14,NVIDIA Quadro RTX,DDR3,32,12,12,3,8,PowerEdge R640 Rack Server,china,3.5,3,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:890
891,Node,SATA SSD,Intel Core i7,d3449887-8adb-4b00-87c6-20a78d9042d1,10,AMD Radeon,DDR7,16,8,8,1.3333333333333333,2.6666666666666665,Precision 7920 Rack Workstation,china,1.6666666666666667,1.3333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:891
892,Node,eMMC Storage,AMD Ryzen,3be49c71-8d56-4052-a7a9-cc9af4b89ba7,32,NVIDIA GeForce RTX,DDR3,8196,30,64,15,4098,PrimeServer Rack IX Rack Server,china,16,32,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:892
893,Node,HDD,AMD Ryzen,767e34ba-1a30-4d2b-80ea-0b18d250188e,2,NVIDIA Quadro,DDR3,2,2,2,0.3333333333333333,0.3333333333333333,ProLiant DL360 Gen10 Rack Server,china,0.3333333333333333,0.3333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:893
894,Node,M.2 SSD,AMD Ryzen,5b8a0dde-9c6a-46e0-8f0e-4a23a4750afc,24,NVIDIA Quadro RTX,DDR5,512,22,22,11,256,SuperServer 6019U Rack Server,china,12,11,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:894
895,Node,SATA SSD,Intel Core i7,1faa24e7-f1e5-481c-9fca-0dfb020e425c,10,AMD Radeon,DDR7,16,8,8,2,4,Precision 7920 Rack Workstation,china,2.5,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:895
896,Node,Flash Memory,Intel Core i5,998877b2-1c5b-4453-8826-ce2016505e01,14,NVIDIA Quadro RTX,DDR3,32,12,12,6,16,PowerEdge R640 Rack Server,china,7,6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:896
897,Node,SATA SSD,Intel Core i7,cd0e286c-fba7-4a01-9727-76d43ac5bbe1,10,AMD Radeon,DDR7,16,8,8,2.6666666666666665,5.333333333333333,Precision 7920 Rack Workstation,china,3.3333333333333335,2.6666666666666665,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:897
898,Node,Flash Memory,Intel Core i5,ffa45819-c498-4d70-9f64-2631a67b4c13,14,NVIDIA Quadro RTX,DDR3,32,12,12,2.4,6.4,PowerEdge R640 Rack Server,china,2.8,2.4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:898
899,Node,Hybrid Drive,AMD Ryzen Threadripper,46c0b91e-7ce6-42b2-acfc-9f7d3d6a4db6,12,NVIDIA GeForce RTX,DDR4,24,10,10,3.3333333333333335,8,SuperServer 10210U Rack Server,china,4,3.3333333333333335,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:899
900,Node,Flash Memory,Intel Core i5,bb37faa5-d9ac-4965-8189-973ad2913424,14,NVIDIA Quadro RTX,DDR3,32,12,12,2.4,6.4,PowerEdge R640 Rack Server,china,2.8,2.4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:900
901,Node,Flash Storage,AMD EPYC,9d6279de-0250-4362-bb2e-fcf4bda34f02,8,NVIDIA Tesla,DDR6,8,6,6,6,8,PrimeServer Rack V Rack Server,china,8,6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:901
902,Node,USB Flash Drive,Intel Core i9,bd50be5d-7135-4cb4-9529-ebaa0dddcc2c,22,NVIDIA GeForce GTX,DDR3,256,20,20,6.666666666666667,85.33333333333333,Precision 7920 Tower Workstation,china,7.333333333333333,6.666666666666667,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:902
903,Node,eMMC Storage,AMD Ryzen,8ddf2193-b722-47bf-bd5d-07c60d054b40,32,NVIDIA GeForce RTX,DDR3,8196,30,64,10,2732,PrimeServer Rack IX Rack Server,china,10.666666666666666,21.333333333333332,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:903
904,Node,USB Flash Drive,Intel Core i9,2a879331-c666-46bc-b357-8289e27ae077,22,NVIDIA GeForce GTX,DDR3,256,20,20,10,128,Precision 7920 Tower Workstation,china,11,10,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:904
905,Node,SATA SSD,Intel Core i7,5339fce8-8c6f-4dc2-9a7b-c1e69dcef27a,10,AMD Radeon,DDR7,16,8,8,8,16,Precision 7920 Rack Workstation,china,10,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:905
906,Node,Flash Memory,Intel Core i5,01571f2d-f5d7-4403-b182-9e7542fe9db7,14,NVIDIA Quadro RTX,DDR3,32,12,12,4,10.666666666666666,PowerEdge R640 Rack Server,china,4.666666666666667,4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:906
907,Node,Cloud Storage,AMD EPYC,3c7ce639-0ac2-4c9f-a0f8-2e9a1e5c08ea,20,AMD Radeon Pro WX,DDR4,128,18,18,6,42.666666666666664,PrimeServer Pro Rack III Rack Server,china,6.666666666666667,6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:907
908,Node,External HDD,Intel Xeon,f2934c0e-ea0d-4c8b-b68c-df905d572a9a,18,NVIDIA Tesla V100,DDR6,64,16,16,3.2,12.8,ThinkSystem SR630 Rack Server,china,3.6,3.2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:908
909,Node,Cloud Storage,AMD EPYC,3a9220a0-8ce4-4bd2-abc7-2a9f615bc58a,20,AMD Radeon Pro WX,DDR4,128,18,18,6,42.666666666666664,PrimeServer Pro Rack III Rack Server,china,6.666666666666667,6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:909
910,Node,eMMC Storage,AMD Ryzen,3069cc93-78d2-44b0-ba79-2e97d14f0187,32,NVIDIA GeForce RTX,DDR3,8196,30,64,5,1366,PrimeServer Rack IX Rack Server,china,5.333333333333333,10.666666666666666,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:910
911,Node,Flash Storage,AMD EPYC,6041c1ad-3da2-4d10-80a3-d17bb184588b,8,NVIDIA Tesla,DDR6,8,6,6,2,2.6666666666666665,PrimeServer Rack V Rack Server,china,2.6666666666666665,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:911
912,Node,Fusion Drive,AMD Ryzen,ddd19b81-da8a-489a-be37-9b7f10d88bc8,16,AMD Radeon RX,DDR5,48,14,14,7,24,ProLiant DL380 Gen10 Rack Server,china,8,7,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:912
913,Node,Fusion Drive,AMD Ryzen,4fd2fee5-4b90-4823-918e-1804ce6620d2,16,AMD Radeon RX,DDR5,48,14,14,3.5,12,ProLiant DL380 Gen10 Rack Server,china,4,3.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:913
914,Node,SATA HDD,Intel Core i7,a569b28c-022c-49e8-8e82-cf0cbae11e7d,26,AMD Radeon Pro WX,DDR7,1024,24,24,6,256,PowerEdge R740 Rack Server,china,6.5,6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:914
915,Node,NAS Storage,Intel Xeon,72a8bccd-905a-4a42-a604-c7d8b51db522,30,AMD Radeon VII,DDR4,4096,28,48,14,2048,ThinkSystem SR530 Rack Server,china,15,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:915
916,Node,External HDD,Intel Xeon,ab88927e-fca8-474b-bd39-fbac75a452b4,18,NVIDIA Tesla V100,DDR6,64,16,16,16,64,ThinkSystem SR630 Rack Server,china,18,16,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:916
917,Node,SSD,Intel Xeon,b281277b-348a-4e64-98fb-513227b1adf1,1,NVIDIA GeForce,DDR4,1,1,1,0.16666666666666666,0.16666666666666666,PowerEdge R660 Rack Server,china,0.16666666666666666,0.16666666666666666,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:917
918,Node,SSD,Intel Xeon,af05eb8e-3f17-4799-9537-a5e02091bf82,1,NVIDIA GeForce,DDR4,1,1,1,0.25,0.25,PowerEdge R660 Rack Server,china,0.25,0.25,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:918
919,Node,USB Flash Drive,Intel Core i9,1cfca38a-701b-4d86-b08c-7d0cc2ae19fa,22,NVIDIA GeForce GTX,DDR3,256,20,20,4,51.2,Precision 7920 Tower Workstation,china,4.4,4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:919
920,Node,Fusion Drive,AMD Ryzen,ffe52d06-4a73-4315-8d46-2e03ce6a0472,16,AMD Radeon RX,DDR5,48,14,14,4.666666666666667,16,ProLiant DL380 Gen10 Rack Server,china,5.333333333333333,4.666666666666667,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:920
921,Node,SATA HDD,Intel Core i7,5ed6dee4-9427-40e4-8081-c6bf45cec48b,26,AMD Radeon Pro WX,DDR7,1024,24,24,8,341.3333333333333,PowerEdge R740 Rack Server,china,8.666666666666666,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:921
922,Node,External HDD,Intel Xeon,06566921-02bd-4d8e-8b52-9f899c5365ca,18,NVIDIA Tesla V100,DDR6,64,16,16,8,32,ThinkSystem SR630 Rack Server,china,9,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:922
923,Node,SATA HDD,Intel Core i7,f49e1b9b-d850-4ddc-abac-4f06fb517c60,26,AMD Radeon Pro WX,DDR7,1024,24,24,12,512,PowerEdge R740 Rack Server,china,13,12,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:923
924,Node,HDD,AMD Ryzen,23032bfa-15a8-468a-aaa2-7f3fac59635d,2,NVIDIA Quadro,DDR3,2,2,2,0.3333333333333333,0.3333333333333333,ProLiant DL360 Gen10 Rack Server,china,0.3333333333333333,0.3333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:924
925,Node,SATA SSD,Intel Core i7,613d0d5f-0130-4625-907e-a0c720091ec8,10,AMD Radeon,DDR7,16,8,8,2.6666666666666665,5.333333333333333,Precision 7920 Rack Workstation,china,3.3333333333333335,2.6666666666666665,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:925
926,Node,SATA HDD,Intel Core i7,ddf384cc-6a82-42ef-a855-c997f54bb985,26,AMD Radeon Pro WX,DDR7,1024,24,24,24,1024,PowerEdge R740 Rack Server,china,26,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:926
927,Node,SSD,Intel Xeon,00d377b3-b4a9-4033-9fbc-3106325b6afa,1,NVIDIA GeForce,DDR4,1,1,1,0.5,0.5,PowerEdge R660 Rack Server,china,0.5,0.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:927
928,Node,Fusion Drive,AMD Ryzen,c8ebe442-1b77-477f-a55f-08601e09219f,16,AMD Radeon RX,DDR5,48,14,14,7,24,ProLiant DL380 Gen10 Rack Server,china,8,7,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:928
929,Node,Hybrid Drive,AMD Ryzen Threadripper,590e2565-8f05-4402-9a07-ab798aad9803,12,NVIDIA GeForce RTX,DDR4,24,10,10,2,4.8,SuperServer 10210U Rack Server,china,2.4,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:929
930,Node,Cloud Storage,AMD EPYC,0c461818-f140-4a26-aacd-b3c94f0fac97,20,AMD Radeon Pro WX,DDR4,128,18,18,9,64,PrimeServer Pro Rack III Rack Server,china,10,9,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:930
931,Node,SATA SSD,Intel Core i7,4c85544f-21e7-49ce-8914-59d1799f71f0,10,AMD Radeon,DDR7,16,8,8,2,4,Precision 7920 Rack Workstation,china,2.5,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:931
932,Node,SATA SSD,Intel Core i7,f60012ba-5096-4fcd-a733-b6f3ac949a47,10,AMD Radeon,DDR7,16,8,8,4,8,Precision 7920 Rack Workstation,china,5,4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:932
933,Node,Hybrid Drive,AMD Ryzen Threadripper,9f1fa746-0650-4c1f-9851-872aae5469af,12,NVIDIA GeForce RTX,DDR4,24,10,10,1.6666666666666667,4,SuperServer 10210U Rack Server,china,2,1.6666666666666667,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:933
934,Node,SATA HDD,Intel Core i7,fe128091-392a-4423-ad68-99c7c4477014,26,AMD Radeon Pro WX,DDR7,1024,24,24,4,170.66666666666666,PowerEdge R740 Rack Server,china,4.333333333333333,4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:934
935,Node,Fusion Drive,AMD Ryzen,856ad6ad-e24a-4343-86a5-c76817dedbfe,16,AMD Radeon RX,DDR5,48,14,14,2.3333333333333335,8,ProLiant DL380 Gen10 Rack Server,china,2.6666666666666665,2.3333333333333335,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:935
936,Node,External SSD,AMD EPYC,5fc398a3-2d5e-42a0-89a1-ba09854784e5,28,NVIDIA Tesla T4,DDR6,2048,26,32,6.5,512,ProLiant DL325 Gen10 Rack Server,china,7,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:936
937,Node,M.2 SSD,AMD Ryzen,545f4a20-ab2e-46ff-954e-f7c7c946b6d6,24,NVIDIA Quadro RTX,DDR5,512,22,22,4.4,102.4,SuperServer 6019U Rack Server,china,4.8,4.4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:937
938,Node,Fusion Drive,AMD Ryzen,fc054d22-0107-4704-9f60-a599c1c033a5,16,AMD Radeon RX,DDR5,48,14,14,14,48,ProLiant DL380 Gen10 Rack Server,china,16,14,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:938
939,Node,HDD,AMD Ryzen,119c5e1b-8368-48db-9b31-ceb1ed63dd79,2,NVIDIA Quadro,DDR3,2,2,2,1,1,ProLiant DL360 Gen10 Rack Server,china,1,1,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:939
940,Node,NAS Storage,Intel Xeon,da761a61-e198-4204-b310-d5c84660fc81,30,AMD Radeon VII,DDR4,4096,28,48,4.666666666666667,682.6666666666666,ThinkSystem SR530 Rack Server,china,5,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:940
941,Node,NAS Storage,Intel Xeon,13685745-7f4e-4368-8c20-43d4d5fc16e4,30,AMD Radeon VII,DDR4,4096,28,48,4.666666666666667,682.6666666666666,ThinkSystem SR530 Rack Server,china,5,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:941
942,Node,Cloud Storage,AMD EPYC,0e7df551-728c-414e-abcb-793447c52710,20,AMD Radeon Pro WX,DDR4,128,18,18,6,42.666666666666664,PrimeServer Pro Rack III Rack Server,china,6.666666666666667,6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:942
943,Node,USB Flash Drive,Intel Core i9,2b63fed7-4548-4f14-8899-81c54485e14f,22,NVIDIA GeForce GTX,DDR3,256,20,20,10,128,Precision 7920 Tower Workstation,china,11,10,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:943
944,Node,M.2 SSD,AMD Ryzen,9e6ab8f6-a094-40d7-9fa1-571412478cad,24,NVIDIA Quadro RTX,DDR5,512,22,22,7.333333333333333,170.66666666666666,SuperServer 6019U Rack Server,china,8,7.333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:944
945,Node,NVMe,Intel Core i9,99159773-303b-49af-aa3a-133fe3c2bdef,4,AMD Radeon Pro,DDR5,4,4,4,0.8,0.8,ThinkSystem SR650 Rack Server,china,0.8,0.8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:945
946,Node,SSD,Intel Xeon,511b487e-6c6c-4188-8ce4-1e83e4669697,1,NVIDIA GeForce,DDR4,1,1,1,0.5,0.5,PowerEdge R660 Rack Server,china,0.5,0.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:946
947,Node,M.2 SSD,AMD Ryzen,1c53fd37-90f6-4e8a-9311-65ac3ee02fcb,24,NVIDIA Quadro RTX,DDR5,512,22,22,3.6666666666666665,85.33333333333333,SuperServer 6019U Rack Server,china,4,3.6666666666666665,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:947
948,Node,Flash Storage,AMD EPYC,cc29da17-bc52-4915-9e59-f7b8d2f3471f,8,NVIDIA Tesla,DDR6,8,6,6,6,8,PrimeServer Rack V Rack Server,china,8,6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:948
949,Node,HDD,AMD Ryzen,5470542a-2dbe-4034-b27e-beb7966cf33f,2,NVIDIA Quadro,DDR3,2,2,2,2,2,ProLiant DL360 Gen10 Rack Server,china,2,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:949
